ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"109.205.243.10","elite","AS56656","SK","Detronics s.r.o","96","Detronics s.r.o.","5678","socks4","1101","1","2023-09-30T11:25:41.838Z","100","4168","4174"
"80.52.223.98","elite","AS5617","PL","Orange Polska Spolka Akcyjna","93","Orange Polska S.A.","5678","socks4","4193","1","2023-09-30T11:25:39.986Z","98","4017","4100"
"79.151.16.40","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","33","N/A","5678","socks4","5385","1","2023-09-30T11:25:39.889Z","100","4135","4153"
"103.232.66.137","elite","AS137311","ID","PT. KINEZ CREATIVE SOLUTIONS","179","PT. Kinez Creative Solutions","4145","socks4","4603","1","2023-09-30T11:25:39.887Z","99","4046","4096"
"117.202.20.69","elite","AS9829","IN","BSNL Internet","198","NIB","1088","socks4","3993","1","2023-09-30T11:25:39.884Z","97","3900","4041"
"47.254.241.21","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","193","Alibaba.com LLC","21491","socks4","4893","1","2023-09-30T11:25:39.885Z","93","3738","4026"
"137.220.61.187","elite","AS20473","US","The Constant Company","97","Vultr Holdings, LLC","10024","socks4","2806","1","2023-09-30T11:25:39.886Z","96","3893","4069"
"50.63.26.13","elite","AS398101","US","GoDaddy.com, LLC","188","GoDaddy.com, LLC","53887","socks4","4300","1","2023-09-30T11:25:36.540Z","100","4109","4111"
"138.36.150.13","elite","AS263729","AR","Pedraza Luis Eduardo","285","Pedraza Luis Eduardo","1080","socks4","138","1","2023-09-30T11:25:36.539Z","99","4111","4152"
"190.152.12.54","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","199","Corporacion Nacional De Telecomunicaciones - CNT EP","47017","socks4","4694","82","2023-09-30T11:25:36.532Z","98","4059","4124"
"207.180.213.101","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","7497","socks5","5102","1","2023-09-30T11:25:36.534Z","55","2235","4061"
"192.3.127.220","elite","AS36352","US","ColoCrossing","183","RackNerd LLC","45776","socks5","4994","1","2023-09-30T11:25:36.549Z","81","3248","4020"
"114.99.14.184","elite","AS4134","CN","Chinanet","206","Chinanet AH","8004","socks5","4796","1","2023-09-30T11:25:36.538Z","53","2204","4122"
"103.12.246.41","elite","AS134941","IN","Instant Cable Network PVT LTD","150","Instant Cable Network PVT LTD","4145","socks4","10307","1","2023-09-30T11:25:31.234Z","99","4085","4116"
"51.210.182.12","elite","AS16276","FR","OVH SAS","6","OVH","47514","socks4","3910","1","2023-09-30T11:25:31.248Z","100","4106","4106"
"200.29.237.107","elite","AS27941","CO","Consulnetwork Ltda","194","MONTAÑO SAA LUIS CARLOS","5678","socks4","5001","1","2023-09-30T11:25:31.154Z","89","3695","4138"
"193.203.61.35","elite","AS41268","RU","LANTA Ltd","61","Lanta Networks","8443","socks5","3407","1","2023-09-30T11:25:24.637Z","99","4135","4164"
"188.166.217.4","elite","AS14061","SG","DigitalOcean, LLC","164","Digitalocean","20278","socks5","4903","1","2023-09-30T11:25:24.737Z","100","4001","4010"
"37.193.227.108","elite","AS31200","RU","Novotelecom Ltd","94","Novotelecom ltd.","1080","socks5","4607","82","2023-09-30T11:25:24.633Z","85","3534","4147"
"69.163.165.180","elite","AS26347","US","New Dream Network, LLC","202","New Dream Network, LLC","41610","socks5","4899","1","2023-09-30T11:25:24.242Z","100","4135","4139"
"103.210.35.40","elite","AS59151","ID","Diskominfo DIY","282","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","5092","1","2023-09-30T11:25:24.246Z","97","4071","4178"
"124.120.106.86","elite","AS17552","TH","TRUEBB","187","N/A","5678","socks4","4199","1","2023-09-30T11:25:24.739Z","78","3196","4094"
"1.179.220.211","elite","AS131293","TH","TOT Public Company Limited","173","Department of Agriculture","7497","socks5","5689","1","2023-09-30T11:25:24.247Z","99","4082","4121"
"51.91.151.47","elite","AS16276","FR","OVH SAS","8","OVH","53341","socks5","4897","1","2023-09-30T11:25:22.383Z","100","4120","4120"
"8.214.194.44","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","386","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","3195","1","2023-09-30T11:25:22.282Z","99","4040","4076"
"37.54.134.7","elite","AS6849","UA","UKRTELECOM","51","JSC Ukrtelecom","5678","socks4","5112","1","2023-09-30T11:25:22.285Z","20","853","4162"
"50.47.75.212","elite","AS20055","US","Wholesail networks LLC","199","Ziply Fiber","5678","socks4","3997","1","2023-09-30T11:25:22.283Z","98","4028","4113"
"119.235.19.142","elite","AS24532","ID","PT Inet Global Indo","163","N/A","5678","socks4","4784","1","2023-09-30T11:25:22.284Z","100","4108","4127"
"51.81.31.66","elite","AS16276","US","OVH SAS","200","OVH US LLC","54535","socks4","1098","80","2023-09-30T11:25:22.285Z","100","4131","4131"
"171.5.12.194","elite","AS45629","TH","Triple T Broadband Public Company Limited","286","Triple T Broadband Public Company Limited","4145","socks4","5014","82","2023-09-30T11:25:19.036Z","100","4010","4015"
"177.55.57.69","elite","AS262493","BR","Webby Tecnologia Ltda","287","Webby Tecnologia Ltda","3128","socks5","2198","1","2023-09-30T11:25:19.034Z","99","4031","4075"
"222.221.247.114","elite","AS4134","CN","Chinanet","230","Chinanet YN","5678","socks4","1207","1","2023-09-30T11:25:18.948Z","79","3183","4048"
"116.101.116.41","elite","AS7552","VN","Viettel Corporation","297","Viettel Group","4003","socks4","5104","1","2023-09-30T11:25:13.646Z","62","2490","4014"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","196","Ranks ITT Ltd.","4145","socks4","4508","1","2023-09-30T11:25:13.750Z","100","4156","4173"
"110.44.113.162","elite","AS45650","NP","Vianet Communications Pvt. Ltd","183","Vianet Communications Pvt. Ltd","5678","socks4","1601","1","2023-09-30T11:25:13.748Z","99","4049","4108"
"125.141.139.110","elite","AS4766","KR","Korea Telecom","289","KORNET","5566","socks5","4689","1","2023-09-30T11:25:13.735Z","80","3327","4156"
"123.145.4.15","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","262","N/A","53309","socks5","4793","1","2023-09-30T11:25:13.738Z","57","2357","4142"
"100.4.91.158","elite","AS701","US","Verizon Communications","93","MCI Communications Services, Inc. d/b/a Verizon Business","8080","socks4","5006","1","2023-09-30T11:25:13.649Z","98","3986","4080"
"202.61.251.201","elite","AS197540","DE","netcup GmbH","84","netcup GmbH","9097","socks4","1498","82","2023-09-30T11:25:08.447Z","98","4106","4185"
"104.21.31.189","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4901","1","2023-09-30T11:25:08.437Z","100","4074","4074"
"103.120.135.229","elite","AS38235","KH","Angkor Data Communication","207","N/A","33427","socks5","4702","1","2023-09-30T11:25:08.350Z","99","3975","4011"
"202.79.34.96","elite","AS17501","NP","WorldLink Communications","183","N/A","5678","socks4","5098","1","2023-09-30T11:25:08.435Z","98","4033","4097"
"103.47.93.222","elite","AS134058","IN","Broban Internet Services Pvt.ltd","149","Broban  PVT Ltd.","1080","socks4","4999","1","2023-09-30T11:25:08.433Z","99","4062","4098"
"143.255.249.74","elite","AS61468","EC","CEDIA","166","Universidad Tecnologica Israel","7497","socks5","4895","1","2023-09-30T11:25:08.446Z","95","3892","4090"
"45.116.114.45","elite","AS58898","IN","Rainbow communications India Pvt Ltd","152","Rainbow Communications India Pvt Ltd","5678","socks4","4509","1","2023-09-30T11:25:04.182Z","99","3998","4047"
"102.69.146.181","elite","AS328451","NG","IP Express Ltd","183","N/A","5678","socks4","5008","2","2023-09-30T11:25:04.181Z","86","3490","4081"
"183.89.113.160","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","8080","socks5","4705","1","2023-09-30T11:25:04.182Z","95","3839","4030"
"104.25.58.39","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3698","1","2023-09-30T11:25:04.179Z","100","3987","3988"
"167.86.74.155","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","21966","socks4","4798","1","2023-09-30T11:25:03.049Z","49","1986","4084"
"173.249.2.186","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","45708","socks4","5106","1","2023-09-30T11:25:03.050Z","100","4029","4031"
"142.93.250.71","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","7497","socks5","4702","1","2023-09-30T11:25:03.048Z","75","3056","4089"
"138.68.135.103","elite","AS14061","GB","DigitalOcean, LLC","14","DigitalOcean, LLC","3128","socks5","3400","1","2023-09-30T11:25:02.949Z","93","3727","4029"
"103.51.44.253","elite","AS133819","ID","CIM","205","N/A","4145","socks4","5011","1","2023-09-30T11:25:02.946Z","99","4123","4155"
"160.251.6.106","elite","AS7506","JP","GMO Internet Group, Inc.","237","interQ","10008","socks4","4713","1","2023-09-30T11:24:57.747Z","95","3881","4071"
"94.43.64.47","elite","AS35805","GE","JSC \"Silknet\"","79","Silknet - 4","5678","socks4","4782","1","2023-09-30T11:24:57.844Z","99","4159","4183"
"212.79.107.116","elite","AS8251","CZ","Neutral czFree eXchange members","26","Heaven - CZFree.Net, spol. s r.o.","5678","socks4","4901","1","2023-09-30T11:24:57.744Z","99","4089","4129"
"159.192.91.134","elite","AS131090","TH","CAT-BB","240","N/A","5678","socks4","5096","1","2023-09-30T11:24:57.735Z","86","3519","4087"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","197","N/A","4145","socks4","2811","1","2023-09-30T11:24:57.743Z","95","3908","4132"
